source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00210,source:public_interaction,from_source,1.0,ev-00210,"{""evidence_id"": ""ev-00210""}"
evidence:ev-00211,source:public_interaction,from_source,1.0,ev-00211,"{""evidence_id"": ""ev-00211""}"
evidence:ev-00221,source:public_interaction,from_source,1.0,ev-00221,"{""evidence_id"": ""ev-00221""}"
evidence:ev-00229,source:public_interaction,from_source,1.0,ev-00229,"{""evidence_id"": ""ev-00229""}"
evidence:ev-00212,source:news,from_source,1.0,ev-00212,"{""evidence_id"": ""ev-00212""}"
evidence:ev-00219,source:news,from_source,1.0,ev-00219,"{""evidence_id"": ""ev-00219""}"
evidence:ev-00220,source:news,from_source,1.0,ev-00220,"{""evidence_id"": ""ev-00220""}"
evidence:ev-00245,source:news,from_source,1.0,ev-00245,"{""evidence_id"": ""ev-00245""}"
evidence:ev-00202,source:public_web,from_source,1.0,ev-00202,"{""evidence_id"": ""ev-00202""}"
evidence:ev-00225,source:public_web,from_source,1.0,ev-00225,"{""evidence_id"": ""ev-00225""}"
evidence:ev-00232,source:public_web,from_source,1.0,ev-00232,"{""evidence_id"": ""ev-00232""}"
evidence:ev-00235,source:public_web,from_source,1.0,ev-00235,"{""evidence_id"": ""ev-00235""}"
